Date,Year,Month,Time,Sales,logSales,dlogSales,Changepoint,c348,s348,c432,s432,obs106
1999-10-01,1999,10,82,49379,10.807280512,-0.043414875,0,-0.974526873,-0.224270761,-0.888136449,0.4595798606,0
1999-11-01,1999,11,83,47695,10.77258185,-0.034698662,0,0.7459411454,-0.666011867,0.6178596131,-0.786288432,0
1999-12-01,1999,12,84,48311,10.785414557,0.0128327074,0,0.1128563849,0.9936113105,-0.236498997,0.9716317329,0
2000-01-01,2000,1,85,47032,10.7585835,-0.026831057,0,-0.87630668,-0.481753674,-0.187381315,-0.982287251,0
2000-02-01,2000,2,86,53501,10.887455624,0.1288721242,0,0.8994052516,-0.437115767,0.5775727034,0.8163392507,0
2000-03-01,2000,3,87,59381,10.991729589,0.1042739646,0,-0.162637165,0.9866859442,-0.863923417,-0.503623202,0
2000-04-01,2000,4,88,51683,10.852884186,-0.138845403,0,-0.711535677,-0.70264997,0.994951017,0.1003617149,0
2000-05-01,2000,5,89,57481,10.959209737,0.1063255511,0,0.9845643345,-0.175023059,-0.947098305,0.3209436098,0
2000-06-01,2000,6,90,57235,10.954920878,-0.004288859,0,-0.425779292,0.9048270525,0.7289686274,-0.684547106,0
2000-07-01,2000,7,91,52953,10.877160007,-0.077760872,0,-0.492727342,-0.870183755,-0.379779096,0.9250772068,0
2000-08-01,2000,8,92,56931,10.949595287,0.0724352806,0,0.994951017,0.1003617149,-0.037690183,-0.999289473,0
2000-09-01,2000,9,93,52112,10.861150528,-0.08844476,0,-0.656585756,0.7542513807,0.4483832161,0.8938414242,0
2000-10-01,2000,10,94,50745,10.83456837,-0.026582158,0,-0.236498997,-0.971631733,-0.778462302,-0.627691361,0
2000-11-01,2000,11,95,46458,10.746303958,-0.088264412,0,0.9297764859,0.3681245527,0.9685831611,0.2486898872,0
2000-12-01,2000,12,96,44611,10.705735744,-0.040568213,0,-0.83752804,0.5463943467,-0.984564335,0.175023059,0
2001-01-01,2001,1,97,47306,10.764392416,0.058656672,0,0.0376901827,-0.999289473,0.8235325976,-0.567268949,0
2001-02-01,2001,2,98,49251,10.804684951,0.0402925346,0,0.7939903986,0.6079302977,-0.514439534,0.8575266562,0
2001-03-01,2001,3,99,56675,10.945088475,0.1404035244,0,-0.954864545,0.2970415816,0.1128563849,-0.993611311,0
2001-04-01,2001,4,100,52336,10.86543975,-0.079648726,0,0.3090169944,-0.951056516,0.3090169944,0.9510565163,0
2001-05-01,2001,5,101,58144,10.970677971,0.1052382214,0,0.5979049831,0.8015669849,-0.675332808,-0.737513117,0
2001-06-01,2001,6,102,57024,10.951227511,-0.01945046,0,-0.999684189,0.0251300954,0.9202318474,0.3913736668,0
2001-07-01,2001,7,103,54088,10.898367629,-0.052859882,0,0.5568756165,-0.830595899,-0.999684189,0.0251300954,0
2001-08-01,2001,8,104,58125,10.970351143,0.0719835141,0,0.3564118787,0.9343289425,0.8994052516,-0.437115767,0
2001-09-01,2001,9,105,48652,10.792448197,-0.177902946,0,-0.968583161,-0.248689887,-0.63742399,0.7705132428,0
2001-10-01,2001,10,106,65947,11.096606668,0.3041584714,0,0.762442511,-0.647055962,0.2608415063,-0.965381639,1
2001-11-01,2001,11,107,52687,10.872124025,-0.224482643,0,0.0878511966,0.9961336091,0.1626371652,0.9866859442,0
2001-12-01,2001,12,108,49178,10.803201648,-0.068922377,0,-0.863923417,-0.503623202,-0.556875616,-0.830595899,0
2002-01-01,2002,1,109,48146,10.78199334,-0.021208308,0,0.9101059707,-0.414375581,0.8509944818,0.52517463,0
2002-02-01,2002,2,110,49591,10.811564645,0.0295713046,0,-0.187381315,0.9822872507,-0.992114701,-0.125333234,0
2002-03-01,2002,3,111,54904,10.913341485,0.10177684,0,-0.693653306,-0.720309025,0.9548645447,-0.297041582,0
2002-04-01,2002,4,112,54982,10.914761138,0.0014196533,0,0.9886517447,-0.150225589,-0.745941145,0.6660118674,0
2002-05-01,2002,5,113,55678,10.927340375,0.0125792369,0,-0.448383216,0.8938414242,0.4029064357,-0.915241173,0
2002-06-01,2002,6,114,55376,10.921901566,-0.005438809,0,-0.470703932,-0.882291226,0.0125660399,0.9999210442,0
2002-07-01,2002,7,115,60595,11.01196766,0.0900660945,0,0.9921147013,0.1253332336,-0.425779292,-0.904827052,0
2002-08-01,2002,8,116,63686,11.061720037,0.0497523768,0,-0.675332808,0.7375131174,0.762442511,0.6470559616,0
2002-09-01,2002,9,117,51582,10.850928053,-0.210791984,0,-0.21200711,-0.977268124,-0.962027672,-0.272951936,0
2002-10-01,2002,10,118,52271,10.864197003,0.0132689496,0,0.9202318474,0.3913736668,0.9886517447,-0.150225589,0
2002-11-01,2002,11,119,47747,10.773671517,-0.090525486,0,-0.850994482,0.52517463,-0.83752804,0.5463943467,0
2002-12-01,2002,12,120,51201,10.843514342,0.0698428254,0,0.0627905195,-0.998026728,0.535826795,-0.844327926,0
2003-01-01,2003,1,121,49170,10.80303896,-0.040475382,0,0.7784623016,0.6276913613,-0.137790291,0.9904614257,0
2003-02-01,2003,2,122,47673,10.772120479,-0.030918482,0,-0.962027672,0.2729519355,-0.285019262,-0.958521789,0
2003-03-01,2003,3,123,56000,10.93310697,0.1609864908,0,0.3328195445,-0.942990536,0.6565857558,0.7542513807,0
2003-04-01,2003,4,124,55764,10.928883779,-0.004223191,0,0.5775727034,0.8163392507,-0.910105971,-0.414375581,0
2003-05-01,2003,5,125,59506,10.993832427,0.0649486479,0,-1,2.8418e-14,1,-2.7437e-14,0
2003-06-01,2003,6,126,58090,10.969748811,-0.024083616,0,0.5775727034,-0.816339251,-0.910105971,0.414375581,0
2003-07-01,2003,7,127,61433,11.025702429,0.0559536181,0,0.3328195445,0.9429905359,0.6565857558,-0.754251381,0
2003-08-01,2003,8,128,61356,11.024448245,-0.001254184,0,-0.962027672,-0.272951936,-0.285019262,0.958521789,0
2003-09-01,2003,9,129,55297,10.920473936,-0.103974308,0,0.7784623016,-0.627691361,-0.137790291,-0.990461426,0
2003-10-01,2003,10,130,53065,10.879272856,-0.04120108,0,0.0627905195,0.9980267284,0.535826795,0.8443279255,0
2003-11-01,2003,11,131,48537,10.790081673,-0.089191184,0,-0.850994482,-0.52517463,-0.83752804,-0.546394347,0
2003-12-01,2003,12,132,53314,10.88395424,0.0938725672,0,0.9202318474,-0.391373667,0.9886517447,0.1502255891,0
2004-01-01,2004,1,133,47864,10.776118935,-0.107835305,0,-0.21200711,0.9772681236,-0.962027672,0.2729519355,0
2004-02-01,2004,2,134,50584,10.8313906,0.0552716647,0,-0.675332808,-0.737513117,0.762442511,-0.647055962,0
2004-03-01,2004,3,135,60638,11.012677038,0.1812864385,0,0.9921147013,-0.125333234,-0.425779292,0.9048270525,0
2004-04-01,2004,4,136,55578,10.925542718,-0.08713432,0,-0.470703932,0.8822912264,0.0125660399,-0.999921044,0
2004-05-01,2004,5,137,59332,10.990904068,0.06536135,0,-0.448383216,-0.893841424,0.4029064357,0.9152411726,0
2004-06-01,2004,6,138,57264,10.955427433,-0.035476635,0,0.9886517447,0.1502255891,-0.745941145,-0.666011867,0
2004-07-01,2004,7,139,60858,11.016298561,0.0608711276,0,-0.693653306,0.7203090249,0.9548645447,0.2970415816,0
2004-08-01,2004,8,140,59246,10.989453546,-0.026845014,0,-0.187381315,-0.982287251,-0.992114701,0.1253332336,0
2004-09-01,2004,9,141,57973,10.967732664,-0.021720882,0,0.9101059707,0.414375581,0.8509944818,-0.52517463,0
2004-10-01,2004,10,142,53128,10.880459375,-0.087273289,0,-0.863923417,0.5036232016,-0.556875616,0.8305958992,0
2004-11-01,2004,11,143,50718,10.834036156,-0.046423219,0,0.0878511966,-0.996133609,0.1626371652,-0.986685944,0
2004-12-01,2004,12,144,57370,10.957276798,0.1232406414,0,0.762442511,0.6470559616,0.2608415063,0.9653816388,0
2005-01-01,2005,1,145,47706,10.772812455,-0.184464342,0,-0.968583161,0.2486898872,-0.63742399,-0.770513243,0
2005-02-01,2005,2,146,50927,10.838148514,0.0653360586,0,0.3564118787,-0.934328942,0.8994052516,0.4371157667,0
2005-03-01,2005,3,147,61437,11.025767539,0.1876190247,0,0.5568756165,0.8305958992,-0.999684189,-0.025130095,0
2005-04-01,2005,4,148,58535,10.977380145,-0.048387394,0,-0.999684189,-0.025130095,0.9202318474,-0.391373667,0
2005-05-01,2005,5,149,59474,10.993294521,0.0159143763,0,0.5979049831,-0.801566985,-0.675332808,0.7375131174,0
2005-06-01,2005,6,150,65585,11.09110229,0.097807769,0,0.3090169944,0.9510565163,0.3090169944,-0.951056516,0
2005-07-01,2005,7,151,69231,11.145204018,0.0541017279,0,-0.954864545,-0.297041582,0.1128563849,0.9936113105,0
2005-08-01,2005,8,152,62506,11.043017831,-0.102186187,0,0.7939903986,-0.607930298,-0.514439534,-0.857526656,0
2005-09-01,2005,9,153,53141,10.880704037,-0.162313794,0,0.0376901827,0.9992894726,0.8235325976,0.5672689491,0
2005-10-01,2005,10,154,47958,10.778080907,-0.10262313,0,-0.83752804,-0.546394347,-0.984564335,-0.175023059,0
2005-11-01,2005,11,155,49730,10.814363652,0.0362827449,0,0.9297764859,-0.368124553,0.9685831611,-0.248689887,0
2005-12-01,2005,12,156,55717,10.928040586,0.1136769341,0,-0.236498997,0.9716317329,-0.778462302,0.6276913613,0
2006-01-01,2006,1,157,50629,10.832279814,-0.095760772,0,-0.656585756,-0.754251381,0.4483832161,-0.893841424,0
2006-02-01,2006,2,158,51314,10.845718898,0.0134390848,0,0.994951017,-0.100361715,-0.037690183,0.9992894726,0
2006-03-01,2006,3,159,62921,11.04963525,0.2039163518,0,-0.492727342,0.8701837547,-0.379779096,-0.925077207,0
2006-04-01,2006,4,160,56863,10.948400145,-0.101235105,0,-0.425779292,-0.904827052,0.7289686274,0.6845471059,0
2006-05-01,2006,5,161,61023,11.019006121,0.0706059763,0,0.9845643345,0.175023059,-0.947098305,-0.32094361,0
2006-06-01,2006,6,162,60477,11.010018406,-0.008987715,0,-0.711535677,0.7026499698,0.994951017,-0.100361715,0
2006-07-01,2006,7,163,61957,11.034195875,0.0241774686,0,-0.162637165,-0.986685944,-0.863923417,0.5036232016,0
2006-08-01,2006,8,164,63872,11.06463636,0.0304404846,0,0.8994052516,0.4371157667,0.5775727034,-0.816339251,0
2006-09-01,2006,9,165,55786,10.929278221,-0.135358139,0,-0.87630668,0.4817536741,-0.187381315,0.9822872507,0
2006-10-01,2006,10,166,53468,10.886838623,-0.042439598,0,0.1128563849,-0.993611311,-0.236498997,-0.971631733,0
2006-11-01,2006,11,167,51710,10.853406465,-0.033432158,0,0.7459411454,0.6660118674,0.6178596131,0.7862884321,0
2006-12-01,2006,12,168,55602,10.925974451,0.0725679854,0,-0.974526873,0.2242707609,-0.888136449,-0.459579861,0
2007-01-01,2007,1,169,50920,10.838011053,-0.087963398,0,0.3797790955,-0.925077207,0.9987369566,0.0502443182,0
2007-02-01,2007,2,170,53146,10.880798122,0.0427870696,0,0.535826795,0.8443279255,-0.929776486,0.3681245527,0
2007-03-01,2007,3,171,63462,11.058196581,0.1773984583,0,-0.998736957,-0.050244318,0.6936533058,-0.720309025,0
2007-04-01,2007,4,172,57632,10.961833248,-0.096363333,0,0.6178596131,-0.786288432,-0.332819545,0.9429905359,0
2007-05-01,2007,5,173,63279,11.0553088,0.0934755516,0,0.2850192625,0.958521789,-0.087851197,-0.996133609,0
2007-06-01,2007,6,174,59095,10.986901597,-0.068407202,0,-0.947098305,-0.32094361,0.4927273415,0.8701837547,0
2007-07-01,2007,7,175,59393,10.991931653,0.0050300558,0,0.8090169944,-0.587785252,-0.809016994,-0.587785252,0
2007-08-01,2007,8,176,64017,11.066903952,0.0749722988,0,0.0125660399,0.9999210442,0.9798550524,0.1997099805,0
2007-09-01,2007,9,177,55806,10.929636669,-0.137267283,0,-0.823532598,-0.567268949,-0.974526873,0.2242707609,0
2007-10-01,2007,10,178,56263,10.937792404,0.008155735,0,0.9387338577,-0.344642923,0.7939903986,-0.607930298,0
2007-11-01,2007,11,179,51284,10.845134092,-0.092658313,0,-0.260841506,0.9653816388,-0.470703932,0.8822912264,0
2007-12-01,2007,12,180,53410,10.885753273,0.0406191817,0,-0.63742399,-0.770513243,0.0627905195,-0.998026728,0
2008-01-01,2008,1,181,49775,10.815268129,-0.070485144,1,0.9971589003,-0.075326806,0.3564118787,0.9343289425,0
2008-02-01,2008,2,182,51502,10.849375921,0.0341077919,1,-0.514439534,0.8575266562,-0.711535677,-0.70264997,0
2008-03-01,2008,3,183,57091,10.952401765,0.1030258442,1,-0.402906436,-0.915241173,0.9387338577,0.3446429232,0
2008-04-01,2008,4,184,53864,10.89421763,-0.058184135,1,0.9798550524,0.1997099805,-0.9971589,0.0753268055,0
2008-05-01,2008,5,185,55396,10.922262668,0.0280450377,1,-0.728968627,0.6845471059,0.87630668,-0.481753674,0
2008-06-01,2008,6,186,49500,10.809727949,-0.112534719,1,-0.137790291,-0.990461426,-0.597904983,0.8015669849,0
2008-07-01,2008,7,187,50236,10.82448718,0.0147592316,1,0.8881364488,0.4595798606,0.2120071099,-0.977268124,0
2008-08-01,2008,8,188,51435,10.848074154,0.0235869734,1,-0.888136449,0.4595798606,0.2120071099,0.9772681236,0
2008-09-01,2008,9,189,44333,10.6994846,-0.148589554,1,0.1377902907,-0.990461426,-0.597904983,-0.801566985,0
2008-10-01,2008,10,190,39272,10.578267076,-0.121217524,1,0.7289686274,0.6845471059,0.87630668,0.4817536741,0
2008-11-01,2008,11,191,34535,10.449728582,-0.128538494,1,-0.979855052,0.1997099805,-0.9971589,-0.075326806,0
2008-12-01,2008,12,192,38654,10.562405542,0.11267696,1,0.4029064357,-0.915241173,0.9387338577,-0.344642923,0
2009-01-01,2009,1,193,36015,10.491690797,-0.070714744,1,0.5144395338,0.8575266562,-0.711535677,0.7026499698,0
2009-02-01,2009,2,194,35243,10.470022207,-0.02166859,1,-0.9971589,-0.075326806,0.3564118787,-0.934328942,0
2009-03-01,2009,3,195,40565,10.610660905,0.1406386979,1,0.6374239897,-0.770513243,0.0627905195,0.9980267284,0
2009-04-01,2009,4,196,39441,10.582561163,-0.028099741,1,0.2608415063,0.9653816388,-0.470703932,-0.882291226,0
2009-05-01,2009,5,197,41068,10.622984508,0.0404233451,1,-0.938733858,-0.344642923,0.7939903986,0.6079302977,0
2009-06-01,2009,6,198,42442,10.655893717,0.0329092086,1,0.8235325976,-0.567268949,-0.974526873,-0.224270761,0
2009-07-01,2009,7,199,45635,10.728430245,0.072536528,1,-0.01256604,0.9999210442,0.9798550524,-0.199709981,0
2009-08-01,2009,8,200,49947,10.818717722,0.0902874773,1,-0.809016994,-0.587785252,-0.809016994,0.5877852523,0
2009-09-01,2009,9,201,37120,10.521911187,-0.296806535,1,0.947098305,-0.32094361,0.4927273415,-0.870183755,0
2009-10-01,2009,10,202,40085,10.598757478,0.0768462916,1,-0.285019262,0.958521789,-0.087851197,0.9961336091,0
2009-11-01,2009,11,203,36810,10.513524826,-0.085232652,1,-0.617859613,-0.786288432,-0.332819545,-0.942990536,0
2009-12-01,2009,12,204,42194,10.65003331,0.1365084834,1,0.9987369566,-0.050244318,0.6936533058,0.7203090249,0
2010-01-01,2010,1,205,37035,10.51961869,-0.130414619,1,-0.535826795,0.8443279255,-0.929776486,-0.368124553,0
2010-02-01,2010,2,206,37155,10.522853631,0.0032349401,1,-0.379779096,-0.925077207,0.9987369566,-0.050244318,0
2010-03-01,2010,3,207,49926,10.818297188,0.2954435575,1,0.9745268728,0.2242707609,-0.888136449,0.4595798606,0
2010-04-01,2010,4,208,47053,10.759029905,-0.059267283,1,-0.745941145,0.6660118674,0.6178596131,-0.786288432,0
2010-05-01,2010,5,209,48346,10.786138767,0.0271088624,1,-0.112856385,-0.993611311,-0.236498997,0.9716317329,0
2010-06-01,2010,6,210,46879,10.755325093,-0.030813674,1,0.87630668,0.4817536741,-0.187381315,-0.982287251,0
2010-07-01,2010,7,211,49697,10.813699848,0.0583747551,1,-0.899405252,0.4371157667,0.5775727034,0.8163392507,0
2010-08-01,2010,8,212,48858,10.796673411,-0.017026437,1,0.1626371652,-0.986685944,-0.863923417,-0.503623202,0
2010-09-01,2010,9,213,45610,10.72788227,-0.068791141,1,0.7115356772,0.7026499698,0.994951017,0.1003617149,0
2010-10-01,2010,10,214,45366,10.722518205,-0.005364065,1,-0.984564335,0.175023059,-0.947098305,0.3209436098,0
2010-11-01,2010,11,215,43813,10.687685856,-0.034832349,1,0.4257792916,-0.904827052,0.7289686274,-0.684547106,0
2010-12-01,2010,12,216,49735,10.81446419,0.1267783336,1,0.4927273415,0.8701837547,-0.379779096,0.9250772068,0
2011-01-01,2011,1,217,43739,10.685995432,-0.128468758,1,-0.994951017,-0.100361715,-0.037690183,-0.999289473,0
2011-02-01,2011,2,218,46318,10.743285933,0.0572905018,1,0.6565857558,-0.754251381,0.4483832161,0.8938414242,0
2011-03-01,2011,3,219,55952,10.932249459,0.1889635259,1,0.236498997,0.9716317329,-0.778462302,-0.627691361,0
2011-04-01,2011,4,220,51777,10.854701314,-0.077548145,1,-0.929776486,-0.368124553,0.9685831611,0.2486898872,0
2011-05-01,2011,5,221,51278,10.845017089,-0.009684225,1,0.83752804,-0.546394347,-0.984564335,0.175023059,0
2011-06-01,2011,6,222,51281,10.845075592,0.0000585029,1,-0.037690183,0.9992894726,0.8235325976,-0.567268949,0
2011-07-01,2011,7,223,51208,10.843651049,-0.001424543,1,-0.793990399,-0.607930298,-0.514439534,0.8575266562,0
2011-08-01,2011,8,224,52919,10.876517722,0.0328666728,1,0.9548645447,-0.297041582,0.1128563849,-0.993611311,0
